"Branch","Status","Message"
"cartographer-tools-v1","Deleted",""
"codex/implement-character-progression-system","Deleted",""
"codex/implement-complex-enemy-ai-and-visual-feedback","Deleted",""
"codex/implement-feat-system-and-level-up-framework","Deleted",""
"codex/implement-persistent-minimap-and-pois","Deleted",""
"codex/implement-quest-tracking-system-and-inventory-containers","Deleted",""
"codex/refactor-actionpane-and-notification-system","Deleted",""
"feat-spell-system-types","Deleted",""
"feat/spell-type-patches","Deleted",""
"feature-combat-overhaul-ai-visuals","Deleted",""
"fix-village-generation-bugs","Deleted",""
"quest-notification-type-fixes","Deleted",""
"ui-qol-improvements","Deleted",""
